
('13', '0'):421.3257751464844
('11', '2'):425.4897766113281
('7', '1'):535.6190795898438
('7', '0'):619.7998657226562
('10', '2'):648.0054931640625
('10', '0'):731.4954833984375
('11', '0'):743.692138671875
('10', '1'):823.163330078125
('5', '0'):913.5952758789062
('12', '2'):1120.050537109375
('12', '0'):1253.8734130859375
('8', '0'):1264.267578125
('12', '1'):1303.6796875
('8', '1'):1308.099609375
('11', '1'):1387.7633056640625

('11', '0'):27.347957611083984
('11', '2'):35.9557991027832
('12', '2'):45.449913024902344
('10', '2'):50.79008865356445
('7', '1'):51.71731185913086
('10', '0'):60.521026611328125
('12', '1'):60.527381896972656
('10', '1'):61.08020782470703
('7', '0'):63.42597961425781
('5', '0'):89.90018463134766
('8', '1'):96.36937713623047
('8', '0'):105.04103088378906
('11', '1'):112.41370391845703
('12', '0'):128.94117736816406
('11', '3'):1788.0771484375

('11', '0'):25.44438362121582
('11', '2'):36.37092208862305
('12', '2'):47.779815673828125
('10', '2'):56.41648483276367
('12', '1'):56.79140853881836
('10', '0'):63.74654006958008
('7', '1'):66.40875244140625
('10', '1'):68.20189666748047
('7', '0'):81.05653381347656
('8', '1'):107.75739288330078
('5', '0'):109.2213363647461
('11', '1'):115.7948226928711
('8', '0'):118.54928588867188
('12', '0'):140.89926147460938
('11', '3'):1936.7451171875

('11', '0'):20.512502670288086
('11', '2'):34.5197868347168
('12', '2'):37.68618392944336
('12', '1'):43.981956481933594
('10', '2'):50.768096923828125
('10', '0'):59.5882453918457
('10', '1'):64.47931671142578
('7', '1'):64.58853912353516
('7', '0'):71.04927825927734
('5', '0'):97.75032806396484
('8', '1'):97.77259826660156
('8', '0'):109.6839370727539
('11', '1'):111.75688934326172
('12', '0'):133.36398315429688
('11', '3'):2097.578369140625

('11', '0'):19.099374771118164
('11', '2'):33.341312408447266
('12', '2'):35.363285064697266
('12', '1'):41.75048828125
('10', '2'):50.572391510009766
('10', '0'):62.18871307373047
('7', '1'):62.66209411621094
('10', '1'):68.67469024658203
('7', '0'):70.31105041503906
('8', '1'):96.19845581054688
('11', '1'):110.70721435546875
('5', '0'):110.87806701660156
('8', '0'):117.63125610351562
('12', '0'):127.9249267578125
('11', '3'):2236.92333984375

('11', '0'):20.0189266204834
('12', '2'):34.52857208251953
('11', '2'):37.41688919067383
('12', '1'):39.866546630859375
('10', '2'):56.004451751708984
('10', '0'):63.90641403198242
('7', '1'):69.338623046875
('10', '1'):72.68522644042969
('7', '0'):82.4208984375
('8', '1'):101.63804626464844
('11', '1'):119.61066436767578
('8', '0'):121.06256103515625
('5', '0'):126.1098403930664
('12', '0'):136.9993133544922
('11', '3'):2364.063232421875

('11', '0'):16.79619026184082
('12', '2'):28.07199478149414
('11', '2'):30.400854110717773
('12', '1'):34.600425720214844
('10', '2'):48.18899154663086
('10', '0'):57.014705657958984
('10', '1'):61.268951416015625
('7', '1'):63.638973236083984
('7', '0'):69.2132568359375
('8', '1'):99.2918701171875
('11', '1'):100.22244262695312
('8', '0'):100.92467498779297
('5', '0'):105.78868103027344
('12', '0'):122.55690002441406
('11', '3'):2463.02734375

('11', '0'):13.818912506103516
('12', '2'):22.17995262145996
('11', '2'):26.62303924560547
('12', '1'):27.375335693359375
('10', '2'):41.21781539916992
('10', '0'):47.738319396972656
('10', '1'):52.13197708129883
('7', '1'):55.03791046142578
('7', '0'):67.14541625976562
('8', '1'):82.71908569335938
('8', '0'):87.3714370727539
('11', '1'):88.21399688720703
('5', '0'):90.62399291992188
('12', '0'):111.87891387939453
('11', '3'):2566.51904296875

('11', '0'):15.38401985168457
('12', '2'):25.885318756103516
('11', '2'):28.028182983398438
('12', '1'):34.6500244140625
('10', '2'):45.38771057128906
('10', '0'):52.47869110107422
('10', '1'):58.448970794677734
('7', '1'):61.675228118896484
('7', '0'):67.33761596679688
('8', '1'):87.31300354003906
('8', '0'):89.4013900756836
('11', '1'):105.2450942993164
('5', '0'):105.48809051513672
('12', '0'):120.03678131103516
('11', '3'):2678.055419921875

('11', '0'):24.233924865722656
('11', '2'):42.163692474365234
('12', '2'):42.335941314697266
('12', '1'):56.84496307373047
('10', '2'):65.38006591796875
('10', '0'):76.94471740722656
('10', '1'):82.41303253173828
('7', '1'):84.9452133178711
('7', '0'):92.91666412353516
('8', '1'):122.68136596679688
('8', '0'):133.2765350341797
('11', '1'):152.09307861328125
('5', '0'):152.17527770996094
('12', '0'):169.0162353515625
('11', '3'):2799.890380859375

('11', '0'):18.636762619018555
('12', '2'):32.9428825378418
('11', '2'):33.20428466796875
('12', '1'):42.278587341308594
('10', '2'):52.24643325805664
('10', '0'):64.40321350097656
('10', '1'):69.4561996459961
('7', '1'):73.49056243896484
('7', '0'):84.24822235107422
('8', '0'):108.33428955078125
('8', '1'):109.24961853027344
('11', '1'):117.75057983398438
('5', '0'):120.95235443115234
('12', '0'):150.60269165039062
('11', '3'):2903.65185546875

('11', '0'):16.042760848999023
('11', '2'):24.668855667114258
('12', '2'):26.467880249023438
('12', '1'):32.409324645996094
('10', '2'):40.56573486328125
('10', '0'):47.13390350341797
('10', '1'):49.65740203857422
('7', '1'):56.768184661865234
('7', '0'):63.061065673828125
('8', '1'):80.24382781982422
('8', '0'):80.59193420410156
('11', '1'):87.38137817382812
('5', '0'):88.5636215209961
('12', '0'):109.732666015625
('11', '3'):3010.2509765625

('11', '0'):19.344533920288086
('11', '2'):31.551176071166992
('12', '2'):33.73526382446289
('12', '1'):42.64166259765625
('10', '2'):57.466331481933594
('10', '0'):62.17532730102539
('10', '1'):68.42188262939453
('7', '1'):86.58281707763672
('7', '0'):93.08058166503906
('8', '0'):107.98828125
('8', '1'):108.71658325195312
('5', '0'):129.95538330078125
('11', '1'):130.82102966308594
('12', '0'):150.74771118164062
('11', '3'):3120.478515625

('11', '0'):11.244200706481934
('12', '2'):18.045724868774414
('12', '1'):20.914154052734375
('11', '2'):22.54437828063965
('10', '2'):35.83449935913086
('10', '0'):39.958351135253906
('10', '1'):43.506656646728516
('7', '1'):54.91619110107422
('7', '0'):58.082393646240234
('8', '1'):70.97322845458984
('8', '0'):75.53480529785156
('11', '1'):79.30134582519531
('5', '0'):92.59574890136719
('12', '0'):94.068359375
('11', '3'):3202.392578125

('11', '0'):15.152355194091797
('12', '2'):26.02524185180664
('11', '2'):26.998849868774414
('12', '1'):30.988759994506836
('10', '2'):45.35824203491211
('10', '0'):48.90100860595703
('10', '1'):56.144840240478516
('7', '1'):65.00216674804688
('7', '0'):69.89508056640625
('8', '1'):83.99178314208984
('8', '0'):92.48649597167969
('11', '1'):94.77922821044922
('12', '0'):109.09373474121094
('5', '0'):116.00028228759766
('11', '3'):3282.59814453125

('11', '0'):10.86398983001709
('12', '2'):19.969030380249023
('11', '2'):23.08757972717285
('12', '1'):23.798391342163086
('10', '2'):39.07884216308594
('10', '0'):47.60545349121094
('10', '1'):51.753936767578125
('7', '1'):58.73556900024414
('7', '0'):64.00393676757812
('8', '1'):80.58064270019531
('8', '0'):82.4776382446289
('11', '1'):91.84222412109375
('5', '0'):97.34370422363281
('12', '0'):112.21700286865234
('11', '3'):3373.381103515625

('11', '0'):12.814082145690918
('12', '2'):21.240846633911133
('12', '1'):26.478734970092773
('11', '2'):26.78167152404785
('10', '2'):44.7492561340332
('10', '0'):49.74510955810547
('10', '1'):52.0745849609375
('7', '1'):75.97432708740234
('8', '1'):85.62955474853516
('7', '0'):88.24065399169922
('8', '0'):89.64269256591797
('11', '1'):98.14198303222656
('5', '0'):124.09239196777344
('12', '0'):133.0652618408203
('11', '3'):3466.611328125

('11', '0'):12.000937461853027
('12', '2'):19.59328842163086
('12', '1'):22.68798828125
('11', '2'):29.207168579101562
('10', '2'):43.038204193115234
('10', '0'):47.01106262207031
('10', '1'):56.02104187011719
('7', '1'):69.34608459472656
('7', '0'):79.93709564208984
('8', '1'):93.0347671508789
('8', '0'):96.8609848022461
('11', '1'):102.828369140625
('12', '0'):127.10635375976562
('5', '0'):129.5639190673828
('11', '3'):3547.261474609375

('11', '0'):14.216893196105957
('12', '2'):24.810970306396484
('12', '1'):28.60979461669922
('11', '2'):30.96152114868164
('10', '2'):46.492671966552734
('10', '0'):52.705322265625
('10', '1'):61.03889083862305
('7', '1'):70.08877563476562
('7', '0'):77.93553924560547
('8', '1'):92.55135345458984
('11', '1'):112.62210845947266
('8', '0'):116.95986938476562
('12', '0'):125.5759048461914
('5', '0'):134.7714080810547
('11', '3'):3623.596435546875

('11', '0'):9.559094429016113
('12', '2'):17.679271697998047
('12', '1'):20.28681755065918
('11', '2'):25.712839126586914
('10', '2'):42.29901123046875
('10', '0'):48.36115646362305
('10', '1'):53.085845947265625
('7', '1'):67.96507263183594
('7', '0'):73.58409118652344
('8', '1'):78.57743072509766
('8', '0'):85.78035736083984
('11', '1'):99.67745971679688
('5', '0'):105.51517486572266
('12', '0'):115.23081970214844
('11', '3'):3716.714111328125

('11', '0'):10.668676376342773
('12', '2'):16.99039077758789
('12', '1'):20.388431549072266
('11', '2'):26.446096420288086
('10', '2'):38.664390563964844
('10', '0'):45.78636169433594
('10', '1'):50.802146911621094
('7', '1'):61.10555648803711
('7', '0'):73.09432220458984
('8', '1'):77.81109619140625
('8', '0'):83.96590423583984
('11', '1'):88.41512298583984
('5', '0'):111.08631896972656
('12', '0'):113.27568817138672
('11', '3'):3802.49267578125

('11', '0'):11.639951705932617
('12', '2'):22.263790130615234
('11', '2'):25.5794620513916
('12', '1'):28.211469650268555
('10', '2'):43.893455505371094
('10', '0'):53.621185302734375
('10', '1'):55.56403350830078
('7', '1'):64.9102554321289
('7', '0'):76.47344970703125
('8', '1'):84.43875885009766
('8', '0'):96.6524887084961
('11', '1'):97.26184844970703
('5', '0'):101.71253967285156
('12', '0'):115.55734252929688
('11', '3'):3887.506103515625

('11', '0'):11.95373249053955
('12', '2'):19.304967880249023
('12', '1'):24.444120407104492
('11', '2'):27.16555404663086
('10', '2'):47.95631790161133
('10', '0'):50.6073112487793
('10', '1'):57.68751907348633
('7', '1'):69.96627807617188
('7', '0'):81.4207992553711
('8', '1'):83.9346923828125
('8', '0'):95.52967071533203
('11', '1'):99.68885803222656
('5', '0'):121.15391540527344
('12', '0'):124.79436492919922
('11', '3'):3983.709716796875

('11', '0'):13.514361381530762
('12', '2'):20.8621883392334
('11', '2'):24.63078498840332
('12', '1'):25.592294692993164
('10', '2'):41.2739372253418
('10', '0'):45.001869201660156
('10', '1'):54.280372619628906
('7', '0'):63.617000579833984
('7', '1'):64.33773803710938
('8', '1'):78.10110473632812
('8', '0'):86.63928985595703
('11', '1'):94.14087677001953
('5', '0'):103.26811218261719
('12', '0'):109.10987854003906
('11', '3'):4059.72509765625

('11', '0'):13.38337230682373
('12', '2'):24.097335815429688
('11', '2'):27.681453704833984
('12', '1'):31.543598175048828
('10', '2'):44.869632720947266
('10', '0'):47.13087463378906
('10', '1'):65.99079895019531
('7', '1'):68.72714233398438
('7', '0'):78.57341003417969
('8', '1'):89.8102035522461
('8', '0'):96.83096313476562
('11', '1'):102.09188842773438
('12', '0'):108.19554138183594
('5', '0'):120.30254364013672
('11', '3'):4129.95263671875

('11', '0'):14.992793083190918
('12', '2'):24.9633731842041
('11', '2'):26.47420883178711
('12', '1'):31.528564453125
('10', '2'):45.51177215576172
('10', '0'):49.74398422241211
('10', '1'):61.29429244995117
('7', '1'):75.453369140625
('7', '0'):86.16503143310547
('8', '1'):89.77230834960938
('8', '0'):100.95397186279297
('11', '1'):105.52327728271484
('5', '0'):117.8946304321289
('12', '0'):119.90106964111328
('11', '3'):4206.33349609375

('11', '0'):7.754156112670898
('12', '2'):14.151721954345703
('12', '1'):16.862401962280273
('11', '2'):19.995159149169922
('10', '2'):33.23560333251953
('10', '0'):41.55002212524414
('10', '1'):42.33657455444336
('7', '1'):55.60806655883789
('7', '0'):59.649253845214844
('8', '1'):62.77707290649414
('8', '0'):74.46826171875
('11', '1'):77.8488540649414
('12', '0'):89.28946685791016
('5', '0'):89.75790405273438
('11', '3'):4287.23876953125

('11', '0'):8.387922286987305
('12', '2'):15.968550682067871
('11', '2'):20.452926635742188
('12', '1'):20.555702209472656
('10', '2'):36.29700469970703
('10', '0'):40.04706573486328
('10', '1'):40.23196792602539
('7', '1'):56.2443733215332
('8', '1'):65.73809814453125
('7', '0'):66.41384887695312
('8', '0'):67.7916259765625
('11', '1'):84.77444458007812
('5', '0'):88.51007080078125
('12', '0'):103.24949645996094
('11', '3'):4359.162109375

('11', '0'):10.846388816833496
('12', '2'):15.476271629333496
('12', '1'):18.638147354125977
('11', '2'):22.278003692626953
('10', '2'):37.31784439086914
('10', '0'):43.473331451416016
('10', '1'):46.27022171020508
('7', '0'):60.93602752685547
('7', '1'):62.402523040771484
('11', '1'):77.93946838378906
('8', '0'):79.49645233154297
('8', '1'):84.33348083496094
('12', '0'):88.4859848022461
('5', '0'):95.99581909179688
('11', '3'):4441.12744140625

('11', '0'):10.03359603881836
('12', '2'):16.099624633789062
('11', '2'):19.816890716552734
('12', '1'):20.622419357299805
('10', '2'):34.7783203125
('10', '0'):39.976158142089844
('10', '1'):41.950775146484375
('7', '1'):51.08052444458008
('7', '0'):59.34102249145508
('8', '1'):72.49415588378906
('8', '0'):72.95719909667969
('5', '0'):79.3223876953125
('11', '1'):83.745849609375
('12', '0'):88.93081665039062
('11', '3'):4512.23974609375

('11', '0'):11.483979225158691
('12', '2'):18.809402465820312
('12', '1'):22.8580379486084
('11', '2'):27.146703720092773
('10', '2'):46.41047286987305
('10', '0'):55.5199089050293
('10', '1'):55.875247955322266
('7', '1'):76.02689361572266
('7', '0'):80.1128921508789
('8', '1'):88.09989929199219
('8', '0'):90.08563232421875
('11', '1'):102.41012573242188
('5', '0'):113.1557846069336
('12', '0'):131.71031188964844
('11', '3'):4607.38330078125

('11', '0'):5.808856964111328
('12', '2'):9.857954025268555
('12', '1'):11.677752494812012
('11', '2'):17.75641441345215
('10', '2'):28.82579803466797
('10', '0'):33.36661148071289
('10', '1'):36.36048889160156
('7', '1'):53.57405471801758
('7', '0'):53.805606842041016
('8', '1'):54.19380187988281
('8', '0'):63.22834014892578
('11', '1'):69.0643081665039
('12', '0'):79.03700256347656
('5', '0'):82.07664489746094
('11', '3'):4681.0673828125

('11', '0'):12.9667329788208
('12', '2'):19.454004287719727
('12', '1'):25.55168342590332
('11', '2'):25.827306747436523
('10', '2'):42.19465637207031
('10', '0'):48.53438949584961
('10', '1'):56.10209274291992
('7', '0'):72.54983520507812
('7', '1'):75.11827087402344
('8', '1'):83.31736755371094
('8', '0'):89.24003601074219
('11', '1'):100.61128997802734
('12', '0'):113.33434295654297
('5', '0'):113.45662689208984
('11', '3'):4750.60400390625

('11', '0'):10.34708023071289
('12', '2'):15.462973594665527
('12', '1'):19.609453201293945
('11', '2'):26.75750732421875
('10', '2'):42.84848403930664
('10', '0'):48.12385177612305
('10', '1'):54.949363708496094
('7', '1'):75.02339935302734
('7', '0'):78.06822967529297
('8', '1'):83.92022705078125
('8', '0'):85.89434051513672
('11', '1'):98.16220092773438
('12', '0'):116.80001831054688
('5', '0'):120.87818145751953
('11', '3'):4815.16455078125

('11', '0'):9.704859733581543
('12', '2'):15.113645553588867
('12', '1'):18.67200469970703
('11', '2'):24.276151657104492
('10', '2'):38.48775100708008
('10', '0'):48.9305419921875
('10', '1'):51.972938537597656
('7', '1'):71.7964096069336
('8', '0'):77.50314331054688
('8', '1'):79.91748046875
('7', '0'):80.0590591430664
('11', '1'):96.3346939086914
('5', '0'):112.37630462646484
('12', '0'):118.29147338867188
('11', '3'):4901.38330078125

('11', '0'):11.512103080749512
('12', '2'):13.876494407653809
('12', '1'):17.218347549438477
('11', '2'):20.25391960144043
('10', '2'):34.80419921875
('10', '0'):38.60667037963867
('10', '1'):43.98015213012695
('7', '1'):58.82440185546875
('8', '1'):69.02593231201172
('7', '0'):69.5185546875
('8', '0'):73.45465087890625
('11', '1'):80.00145721435547
('12', '0'):92.4934310913086
('5', '0'):98.90253448486328
('11', '3'):4972.45458984375

('11', '0'):5.381765365600586
('12', '2'):9.773093223571777
('12', '1'):11.444666862487793
('11', '2'):19.639986038208008
('10', '2'):30.999019622802734
('10', '0'):32.35089111328125
('10', '1'):35.864646911621094
('7', '1'):52.089656829833984
('8', '0'):59.95539855957031
('7', '0'):59.97197341918945
('8', '1'):60.80949783325195
